X	Y
continuous	continuous 
 	class
735459.0	584.65
735458.0	584.56
735457.0	572.12
735456.0	577.25
735453.0	577.94
735452.0	571.81
735451.0	574.49
735450.0	573.14
735449.0	582.27
735446.0	573.6
735445.0	579.55
735444.0	595.44
735443.0	593.95
735442.0	599.02
735439.0	598.08
735438.0	603.01
735437.0	605.19
735436.0	603.57
735435.0	598.44
735432.0	605.11
735431.0	580.82
735430.0	590.62
735429.0	593.06
735428.0	594.26
735425.0	586.65
735424.0	580.04
735423.0	583.36
735422.0	578.4
735421.0	590.76
735417.0	593.08
735416.0	590.78
735415.0	591.49
735414.0	584.67
735411.0	585.69
735410.0	584.77
735409.0	585.93
735408.0	572.54
735407.0	574.29
735404.0	566.52
735403.0	564.99
735402.0	560.66
735401.0	550.62
735400.0	552.3
735397.0	560.35
735396.0	559.5
735395.0	567.5
735394.0	568.3
735393.0	570.73
735390.0	566.03
735389.0	564.93
735388.0	553.76
735387.0	554.51
735386.0	564.34
735383.0	571.65
735382.0	570.56
735381.0	570.45
735380.0	574.87
735376.0	563.8
735375.0	555.45
735374.0	549.7
735373.0	540.39
735372.0	538.83
735369.0	528.3
735368.0	529.12
735367.0	534.41
735366.0	541.54
735365.0	538.43
735362.0	526.62
735361.0	520.17
735360.0	518.0
735359.0	522.57
735358.0	535.33
735355.0	533.87
735354.0	538.53
735353.0	534.88
735352.0	536.33
735351.0	522.98
735348.0	523.1
735347.0	534.44
735346.0	537.51
735345.0	545.5
735344.0	539.37
735340.0	543.34
735339.0	563.9
735338.0	548.7
735337.0	545.2
735334.0	537.76
735333.0	546.69
735332.0	567.04
735331.0	557.51
735330.0	540.63
735327.0	545.25
735326.0	571.5
735325.0	568.12
735324.0	568.01
735323.0	557.81
735320.0	560.64
735319.0	557.7
735318.0	566.55
735317.0	579.94
735316.0	579.54
735313.0	592.11
735312.0	599.18
735311.0	600.23
735310.0	606.24
735309.0	596.65
735306.0	586.99
735305.0	595.13
735304.0	604.25
735303.0	600.6
735302.0	606.39
735299.0	608.0
735298.0	610.42
735297.0	609.74
735296.0	608.06
735295.0	601.95
735292.0	608.43
735291.0	610.22
735290.0	610.7
735289.0	610.61
735288.0	606.86
735285.0	602.5
735284.0	602.66
735283.0	601.77
735282.0	606.05
735278.0	602.0
735277.0	600.55
735276.0	593.94
735275.0	595.69
735274.0	587.05
735271.0	589.31
735270.0	580.56
735269.0	572.17
735268.0	569.65
735267.0	567.28
735264.0	591.08
735263.0	568.26
735262.0	554.01
735261.0	562.07
735260.0	551.17
735257.0	562.48
735256.0	580.63
735255.0	583.09
735254.0	582.43
735250.0	575.84
735249.0	578.69
735248.0	574.88
735247.0	575.28
735246.0	562.05
735243.0	565.66
735242.0	565.69
735241.0	571.19
735240.0	570.0
735239.0	559.22
735236.0	553.05
735235.0	557.12
