X	Y
continuous	continuous
	class
0.080	0.221
0.111	0.233
0.042	0.258
0.036	0.299
0.062	0.280
0.118	0.307
0.143	0.222
0.118	0.290
0.083	0.215
0.043	0.205
0.083	0.231
0.092	0.167
0.043	0.252
0.059	0.274
0.086	0.287
0.055	0.246
0.116	0.233
0.017	0.271
0.035	0.264
0.038	0.199
0.019	0.273
0.072	0.208
0.079	0.276
0.103	0.229
0.029	0.260
0.069	0.236
0.080	0.216
0.065	0.212
0.051	0.221
0.010	0.194
0.056	0.304
0.066	0.266
0.036	0.234
0.110	0.234
0.099	0.209
0.067	0.218
0.076	0.268
0.072	0.237
0.015	0.238
0.084	0.213
0.082	0.181
0.074	0.214
0.089	0.227
0.100	0.260
0.063	0.266
0.018	0.219
0.086	0.201
0.031	0.213
0.065	0.313
0.097	0.192
0.043	0.264
0.083	0.240
0.067	0.259
0.102	0.243
0.120	0.296
0.052	0.278
0.058	0.233
0.095	0.267
-0.007	0.244
0.093	0.171
0.108	0.265
0.107	0.209
0.092	0.264
0.060	0.200
0.081	0.296
0.066	0.266
0.009	0.270
0.057	0.243
0.040	0.314
0.051	0.241
0.094	0.253
0.064	0.279
0.033	0.269
0.146	0.271
0.052	0.243
0.025	0.257
0.136	0.216
0.079	0.244
0.179	0.318
0.102	0.301
0.078	0.221
0.110	0.273
0.049	0.243
0.083	0.210
0.092	0.251
0.075	0.212
0.095	0.227
0.063	0.270
0.061	0.259
0.053	0.256
0.083	0.279
0.073	0.230
0.047	0.245
0.108	0.362
0.071	0.313
0.118	0.203
0.090	0.323
0.041	0.288
0.055	0.317
0.098	0.302
0.135	0.304
0.082	0.279
0.130	0.300
0.025	0.283
0.076	0.184
0.115	0.273
0.082	0.304
0.013	0.198
0.103	0.275
0.117	0.275
0.063	0.301
0.099	0.287
0.110	0.301
0.076	0.263
0.099	0.260
0.087	0.345
0.078	0.260
0.093	0.298
0.129	0.337
0.088	0.335
0.122	0.222
0.098	0.332
0.114	0.294
0.072	0.310
0.074	0.303
0.101	0.236
0.113	0.337
0.085	0.388
0.068	0.326
0.081	0.329
0.143	0.298
0.053	0.284
0.138	0.312
0.091	0.329
0.108	0.298
0.084	0.370
0.066	0.340
0.092	0.286
0.100	0.269
0.132	0.318
0.136	0.292
0.107	0.258
0.103	0.301
0.135	0.331
0.027	0.309
0.145	0.240
0.031	0.307
0.083	0.303
0.103	0.311
0.096	0.242
0.109	0.359
0.131	0.364
0.154	0.252
0.141	0.349
0.106	0.331
0.114	0.249
0.076	0.370
0.095	0.364
0.127	0.242
0.139	0.289
0.067	0.335
0.159	0.276
0.090	0.279
0.087	0.330
0.081	0.314
0.116	0.284
0.146	0.314
0.051	0.326
0.126	0.354
0.159	0.396
0.126	0.321
0.129	0.281
0.095	0.413
0.134	0.357
0.148	0.403
0.106	0.291
0.108	0.355
0.088	0.374
0.099	0.310
0.095	0.290
0.159	0.393
0.139	0.341
0.123	0.332
0.230	0.332
0.105	0.385
0.148	0.352
0.144	0.294
0.104	0.380
0.102	0.328
0.132	0.323
0.154	0.382
0.157	0.306
0.129	0.351
0.146	0.289
0.095	0.371
0.130	0.360
0.199	0.393
0.141	0.349
0.111	0.348
0.115	0.344
0.168	0.370
0.120	0.332
0.139	0.364
0.141	0.324
0.151	0.408
0.138	0.341
0.146	0.409
0.125	0.366
0.147	0.351
0.106	0.397
0.086	0.379
0.150	0.360
0.149	0.359
0.152	0.376
0.120	0.345
0.114	0.333
0.155	0.376
0.153	0.312
0.171	0.393
0.144	0.356
0.127	0.335
0.098	0.413
0.206	0.401
0.117	0.401
0.150	0.408
0.196	0.335
0.149	0.431
0.148	0.329
0.126	0.321
0.122	0.431
0.149	0.408
0.186	0.446
0.130	0.359
0.148	0.365
0.141	0.359
0.129	0.368
0.192	0.407
0.183	0.368
0.119	0.376
0.182	0.356
0.205	0.479
0.175	0.418
0.143	0.378
0.200	0.383
0.117	0.421
0.147	0.425
0.149	0.417
0.150	0.430
0.157	0.438
0.182	0.399
0.142	0.428
0.118	0.458
0.181	0.429
0.094	0.377
0.147	0.353
0.149	0.451
0.128	0.473
0.090	0.404
0.125	0.452
0.181	0.374
0.146	0.386
0.155	0.470
0.141	0.399
0.134	0.420
0.160	0.397
0.181	0.447
0.212	0.399
0.170	0.403
0.194	0.406
0.232	0.413
0.181	0.388
0.194	0.391
0.199	0.484
0.163	0.433
0.178	0.462
0.168	0.398
0.152	0.418
0.195	0.356
0.128	0.372
0.153	0.438
0.138	0.443
0.151	0.416
0.192	0.418
0.150	0.432
0.201	0.476
0.194	0.423
0.187	0.507
