Date,Open,High,Low,Close,Volume,Adj Close
2014-08-05,43.31,43.46,42.83,43.08,26266400,43.08
2014-08-04,42.97,43.47,42.81,43.37,34277400,43.37
2014-08-01,43.21,43.25,42.60,42.86,31170300,42.86
2014-07-31,43.38,43.69,43.08,43.16,31537500,43.16
2014-07-30,44.07,44.10,43.29,43.58,31921400,43.58
2014-07-29,43.91,44.09,43.64,43.89,27763100,43.89
2014-07-28,44.36,44.51,43.93,43.97,29684200,43.97
2014-07-25,44.30,44.66,44.30,44.50,26737700,44.50
2014-07-24,44.93,45.00,44.32,44.40,30725300,44.40
2014-07-23,45.45,45.45,44.62,44.87,52362900,44.87
2014-07-22,45.00,45.15,44.59,44.83,43095800,44.83
2014-07-21,44.56,45.16,44.22,44.84,37604400,44.84
2014-07-18,44.65,44.84,44.25,44.69,43407500,44.69
2014-07-17,45.45,45.71,44.25,44.53,82180300,44.53
2014-07-16,42.51,44.31,42.48,44.08,63318000,44.08
2014-07-15,42.33,42.47,42.03,42.45,28748700,42.45
2014-07-14,42.22,42.45,42.04,42.14,21881100,42.14
2014-07-11,41.70,42.09,41.48,42.09,24083000,42.09
2014-07-10,41.37,42.00,41.05,41.69,21854700,41.69
2014-07-09,41.98,41.99,41.53,41.67,18445900,41.67
2014-07-08,41.87,42.00,41.61,41.78,31218200,41.78
2014-07-07,41.75,42.12,41.71,41.99,21952400,41.99
2014-07-03,41.91,41.99,41.56,41.80,15969300,41.80
2014-07-02,41.73,41.90,41.53,41.90,20208100,41.90
2014-07-01,41.86,42.15,41.69,41.87,26917000,41.87
2014-06-30,42.17,42.21,41.70,41.70,30805500,41.70
2014-06-27,41.61,42.29,41.51,42.25,74640000,42.25
2014-06-26,41.93,41.94,41.43,41.72,23604400,41.72
2014-06-25,41.70,42.05,41.46,42.03,20049100,42.03
2014-06-24,41.83,41.94,41.56,41.75,26509100,41.75
2014-06-23,41.73,42.00,41.69,41.99,18743900,41.99
2014-06-20,41.45,41.83,41.38,41.68,47764900,41.68
2014-06-19,41.57,41.77,41.33,41.51,19828200,41.51
2014-06-18,41.61,41.74,41.18,41.65,27097000,41.65
2014-06-17,41.29,41.91,40.34,41.68,22518600,41.68
